Column1,Column2
ab-,"словах, с общим значением удаления"
ab-unit,абсолютная единица системы СГСЭ или СГСМ
aba,"аба, свободная верхняя одежда из верблюжьей или козьей шерсти"
abaca,абака
abaci,"счеты, абак, абака, мозаичная панель, номограмма"
abaciscus,"плитка, абак, верхняя часть капители колонны"
aback,"назад, сзади, задом"
abacterial,"безмикробный, стерильный, абактериальный, безбактериальный"
abaction,крупная кража угон скота
abaculus,"плитка, кубик или шарик цветного стекла, абак, небольшие счеты"
abacus,"счеты, абак, абака, мозаичная панель, номограмма"
Abaddon,"Аваддон, ад, преисподняя"
abaft,"позади, сзади, на корме, с кормы, позади, сзади"
abalone,морское ушко
abampere,"абампер, ампер, единица силы тока СГСМ"
abandon,"отказываться от, оставлять, покидать, развязность, несдержанность"
abandoned,"заброшенный, брошенный, покинутый, оставленный, распутный"
abandonee,"страховщик, лицо, в пользу которого отказ"
abandonment,"отказ, оставление, заброшенность, одиночество"
abase,"унижать, понижать"
abasement,"унижение, уничижение, понижение"
abash,"смущать, конфузить, приводить в замешательство"
abashed,"смущенный, сконфуженный, пристыженный"
abashment,"растерянность, замешательство, смущение"
abasia,"абазия, неспособность ходить"
abask,"греясь на солнышке, находясь в приятной, доброй атмосфере"
abat-jour,"абажур, козырек, отражатель"
abat-vent,"жалюзи, односкатная крыша, зонт дымовой трубы"
abatable,"аннулируемый, отменяемый"
abate,"уменьшить, уменьшать, уменьшаться, ослабевать, утихать, ослаблять, умерять, сбавлять"
abated,"сниженный, ослабевший, ослабленный"
abatement,"снижение, уменьшение, ослабление, скидка, смягчение, прекращение, аннулирование"
abater,"прошение об аннулировании, прекращении"
abatis,"засека, завал"
abattage,"массовое уничтожение животных, чтобы предотвратить распространение инфекции"
abattoir,скотобойня
abatvoix,акустический экран
abaxial,"абаксиальный, направленный от оси, на верхней поверхности листа"
abb,"уток, основа ткани"
abba,"Авва, Отец, авва, авва"
abbacy,аббатство
abbatial,"аббатский, аббатовский"
abbe,"аббат, батюшка"
abbess,"аббатиса, настоятельница монастыря"
abbey,"аббатство, монастырь"
abbot,"аббат, настоятель монастыря"
abbreviate,"сокращать, использовать сокращения, урезать"
abbreviated,"сокращенный, укороченный"
abbreviating,"сокращение, сокращающий"
abbreviation,"аббревиатура, сокращение, аббревиация"
abbreviator,"составитель папского бреве, аббревиатор"
abbreviature,"сокращение, сокращенное изложение"
ABC,"азбука, алфавит, азы, основы, начатки, простой, простейший"
ABC-book,букварь
abdest,"абдест, ритуальное омовение рук перед молитвой"
abdicant,"человек, отрекающийся, отказывающийся, отрекающийся"
abdicate,"отказываться, отрекаться, слагать полномочия"
abdication,"отречение, отказ, сложение полномочий, отказ от должности, отказ от права"
abdomen,"живот, брюшная полость, брюшко, брюхо, брюшина"
abdominal,"брюшной, абдоминальный, брюхоперый"
abdominoscopy,"осмотр, ревизия брюшной полости, перитонеоскопия, абдоминоскопия"
abdominous,"толстобрюхий, пузатый, толстый"
abduce,"оттягивать, отводить"
abducens,"отводящий нерв, VI черепной нерв"
abducent,отводящий
abduct,"похищать, отводить, оттягивать, насильно уводить, насильно увозить"
abduction,"похищение, отведение, увоз, абдукция, насильственный увоз, увод"
abductor,"похититель, абдуктор, отводящая мышца"
abeam,"на траверзе, с траверза"
abear,"терпеть, выносить, везти, переводить"
abecedaria,"начинающий, новичок, обучающий грамоте, расположенный в алфавитном порядке"
abecedarian,"элементарный, обучающийся грамоте"
abecedarium,"учебник для начинающих, букварь, учебник"
abecedary,"обучающийся грамоте, азбучный, элементарный"
abed,"в постели, лежащий в постели"
Abel,"Абель, Авель, Эйбел"
abele,"тополь белый, тополь, серебристый тополь"
abelmosk,"мускусное дерево, мускусное зерно"
aberdeen,"Абердин, Абердин, абердинский"
aberdeenshire,Абердиншир
aberdevine,чечетка
aberrance,"отклонение от нормы, аберрация, отклонение от правильного пути"
aberrancy,"отклонение от правильного пути, отклонение от нормы, аберрация"
aberrant,"отклоняющийся, отклоняющийся от нормы, заблуждающийся, отклонившийся"
aberrate,"аберрировать, отклоняться от нормы, отклоняться, отходить, обладать аберрацией"
aberration,"аберрация, отклонение, заблуждение, помрачение ума, отклонение от стандарта"
aberrational,"иррациональный, аберрантный, заблуждающийся"
aberrationist,"человек с отклонениями от нормы, человек с отклонениями от нормы"
aberystwyth,Аберистуит
abessive,"абессив, лишительный или изъятельный падеж"
abet,"подстрекать, поощрять, содействовать"
abetment,"подстрекательство, поощрение, содействие"
abetter,"подстрекатель, пособник, пособница"
abetting,"соучастие, подстрекательский"
abettor,"подстрекатель, пособник, соучастник"
abeyance,"состояние неопределенности, временное бездействие, временное прекращение"
abeyancy,"временное бездействие, временное прекращение, состояние неопределенности"
abeyant,"бездействующий, оставшийся без владельца, бесхозный"
abhor,"ненавидеть, питать отвращение"
abhorrence,"отвращение, ненависть, омерзение, то, что вызывает ненависть"
abhorrent,"отвратительный, ненавистный, претящий, мерзкий, несовместимый"
abidance,"соблюдение, подчинение"
abide,"придерживаться, выполнять, терпеть, ждать, оставаться верным, обретаться"
abiding,"неизменный, постоянный, прочный"
abiding-place,"местожительство, местопребывание"
abidjan,"Абиджан, абиджанский"
abietene,"абиетин, хвойное масло"
abigail,камеристка
abilene,"Абилин, в штатах Вирджиния, абилен"
ability,"способность, возможность, умение, ловкость, дарование, компетенция"
abintestate,"законный наследник, лицо, наследник по закону"
abiocoen,"неживая природа, абиоцен"
abiogenesis,"абиогенез, возникновение жизни из неорганической природы, спонтанная генерация"
abiogenist,"сторонник теории абиогенеза, возникновения жизни из неорганической природы"
abiogenous,абиогенный
abiosis,"абиоз, пониженная жизнеспособность органа или системы"
abiotic,"абиотический, нежизненный"
abiotrophy,абиотрофия
abirritant,"средство, снимающее раздражение, успокаивающий, снимающий раздражение"
abirritate,"успокаивать, снимать раздражение, уменьшать рефлекторную возбудимость"
abject,"жалкий, презренный, низкий, несчастный, униженный"
abjection,"униженность, унижение, низость, приниженность, уничижение"
abjective,"принижающий, подавляющий, унижающий, деморализующий"
abjuration,"отречение, отказ, отступничество"
abjure,"отрекаться, отказываться, отступаться"
abjurer,"отрекшийся, отступник, отступница"
abjuror,"отрекшийся, отступник, отступница"
abkhazia,"Абхазия, территориальным статусом, Сухуми"
abkhazian,"абхаз, абхазка, абхазский язык, абхазский, абхазский, относящийся к Абхазии"
ablactate,"отнимать от груди, прививать сближением"
ablactation,отнятие от груди
ablare,"шумный, хриплый, сиплый"
ablastemic,беззародышевый
ablastous,"абластический, неспособный к прорастанию"
ablate,"ампутировать, отсекать, авиа, подвергаться абляции"
ablating,"удаление, аблирование, ампутация, абляционный"
ablation,"удаление, устранение, таяние ледников, размывание пород, вырезывание"
ablatitious,"уменьшающий, отбирающий"
ablative,"аблятивный, творительный, отделительный, аблятив, творительный падеж"
ablator,"абляционный, теплозащитный материал, инструмент для производства ампутации"
ablaut,абляут
ablaze,"в огне, в пламени, сверкающий, горящий, возбужденный"
